"Date Printed: Sunday, January 26, 2025 9:48:28 PM"
Title: "HIV prevalence | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alameda County, CA | Alpine County, CA | Amador County, CA | Butte County, CA | Calaveras County, CA | Colusa County, CA | Contra Costa County, CA | Del Norte County, CA | El Dorado County, CA | Fresno County, CA | Glenn County, CA | Humboldt County, CA | Imperial County, CA | Inyo County, CA | Kern County, CA | Kings County, CA | Lake County, CA | Lassen County, CA | Los Angeles County, CA | Madera County, CA | Marin County, CA | Mariposa County, CA | Mendocino County, CA | Merced County, CA | Modoc County, CA | Mono County, CA | Monterey County, CA | Napa County, CA | Nevada County, CA | Orange County, CA | Placer County, CA | Plumas County, CA | Riverside County, CA | Sacramento County, CA | San Benito County, CA | San Bernardino County, CA | San Diego County, CA | San Francisco County, CA | San Joaquin County, CA | San Luis Obispo County, CA | San Mateo County, CA | Santa Barbara County, CA | Santa Clara County, CA | Santa Cruz County, CA | Shasta County, CA | Sierra County, CA | Siskiyou County, CA | Solano County, CA | Sonoma County, CA | Stanislaus County, CA | Sutter County, CA | Tehama County, CA | Trinity County, CA | Tulare County, CA | Tuolumne County, CA | Ventura County, CA | Yolo County, CA | Yuba County, CA | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | White | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","8","223.5","3,579"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","Asian","Both sexes","All transmission categories","380","85.1","446,360"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","2,230","1500.4","148,630"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","1,321","449.5","293,903"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","20","174.2","11,479"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","White","Both sexes","All transmission categories","1,722","370.7","464,518"
"HIV prevalence","2018","CA","Alameda County","Alameda County, CA","06001","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","335","692.4","48,382"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","171"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","19"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","97"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","645"
"HIV prevalence","2018","CA","Alpine County","Alpine County, CA","06003","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","25"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","494"
