"Date Printed: Monday, January 20, 2025 7:25:28 PM"
Title: "AIDS deaths | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"AIDS deaths","2022","Alabama","01","204","4.8"
"AIDS deaths","2022","Alaska","02","13","2.1"
"AIDS deaths","2022","Arizona","04","244","3.9"
"AIDS deaths","2022","Arkansas","05","68","2.7"
"AIDS deaths","2022","California","06","1,635","4.9"
"AIDS deaths","2022","Colorado","08","131","2.6"
"AIDS deaths","2022","Connecticut","09","195","6.2"
"AIDS deaths","2022","Delaware","10","59","6.8"
"AIDS deaths","2022","District of Columbia","11","161","28.0"
"AIDS deaths","2022","Florida","12","1,681","8.7"
"AIDS deaths","2022","Georgia","13","748","8.2"
"AIDS deaths","2022","Hawaii","15","30","2.5"
"AIDS deaths","2022","Idaho","16","12","0.7"
"AIDS deaths","2022","Illinois","17","495","4.6"
"AIDS deaths","2022","Indiana","18","174","3.0"
"AIDS deaths","2022","Iowa","19","34","1.3"
"AIDS deaths","2022","Kansas","20","48","2.0"
"AIDS deaths","2022","Kentucky","21","128","3.4"
"AIDS deaths","2022","Louisiana","22","359","9.4"
"AIDS deaths","2022","Maine","23","28","2.3"
"AIDS deaths","2022","Maryland","24","453","8.7"
"AIDS deaths","2022","Massachusetts","25","258","4.3"
"AIDS deaths","2022","Michigan","26","277","3.2"
"AIDS deaths","2022","Minnesota","27","91","1.9"
"AIDS deaths","2022","Mississippi^","28","143","5.8"
"AIDS deaths","2022","Missouri","29","181","3.5"
"AIDS deaths","2022","Montana","30","10","1.0"
"AIDS deaths","2022","Nebraska","31","25","1.5"
"AIDS deaths","2022","Nevada","32","152","5.6"
"AIDS deaths","2022","New Hampshire","33","18","1.5"
"AIDS deaths","2022","New Jersey","34","497","6.3"
"AIDS deaths","2022","New Mexico","35","50","2.8"
"AIDS deaths","2022","New York","36","1,634","9.7"
"AIDS deaths","2022","North Carolina","37","433","4.8"
"AIDS deaths","2022","North Dakota","38","9","1.4"
