"Date Printed: Monday, January 20, 2025 7:23:15 PM"
Title: "HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV diagnoses","2022","Alabama","01","701","16.3"
"HIV diagnoses","2022","Alaska","02","38","6.3"
"HIV diagnoses","2022","Arizona","04","860","13.7"
"HIV diagnoses","2022","Arkansas","05","305","11.9"
"HIV diagnoses","2022","California","06","4,856","14.7"
"HIV diagnoses","2022","Colorado","08","433","8.7"
"HIV diagnoses","2022","Connecticut","09","220","7.0"
"HIV diagnoses","2022","Delaware","10","128","14.7"
"HIV diagnoses","2022","District of Columbia","11","211","36.6"
"HIV diagnoses","2022","Florida","12","4,290","22.3"
"HIV diagnoses","2022","Georgia","13","2,511","27.4"
"HIV diagnoses","2022","Hawaii","15","78","6.4"
"HIV diagnoses","2022","Idaho","16","41","2.5"
"HIV diagnoses","2022","Illinois","17","1,306","12.2"
"HIV diagnoses","2022","Indiana","18","612","10.7"
"HIV diagnoses","2022","Iowa","19","123","4.6"
"HIV diagnoses","2022","Kansas","20","133","5.4"
"HIV diagnoses","2022","Kentucky","21","405","10.6"
"HIV diagnoses","2022","Louisiana","22","856","22.3"
"HIV diagnoses","2022","Maine","23","41","3.4"
"HIV diagnoses","2022","Maryland","24","748","14.3"
"HIV diagnoses","2022","Massachusetts","25","438","7.2"
"HIV diagnoses","2022","Michigan","26","629","7.3"
"HIV diagnoses","2022","Minnesota","27","261","5.4"
"HIV diagnoses","2022","Mississippi","28","448","18.1"
