"Date Printed: Monday, January 20, 2025 7:18:36 PM"
Title: "HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Transmission Category,Cases,Rate per 100000
"HIV diagnoses","2022","Alabama","01","Heterosexual contact","173","Data not available"
"HIV diagnoses","2022","Alabama","01","Injection drug use","38","Data not available"
"HIV diagnoses","2022","Alabama","01","Male-to-male sexual contact","472","Data not available"
"HIV diagnoses","2022","Alabama","01","Male-to-male sexual contact and injection drug use","16","Data not available"
"HIV diagnoses","2022","Alabama","01","Other","3","Data not available"
"HIV diagnoses","2022","Alaska","02","Heterosexual contact","5","Data not available"
"HIV diagnoses","2022","Alaska","02","Injection drug use","3","Data not available"
"HIV diagnoses","2022","Alaska","02","Male-to-male sexual contact","29","Data not available"
"HIV diagnoses","2022","Alaska","02","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2022","Alaska","02","Other","0","Data not available"
"HIV diagnoses","2022","Arizona","04","Heterosexual contact","113","Data not available"
"HIV diagnoses","2022","Arizona","04","Injection drug use","56","Data not available"
"HIV diagnoses","2022","Arizona","04","Male-to-male sexual contact","626","Data not available"
"HIV diagnoses","2022","Arizona","04","Male-to-male sexual contact and injection drug use","58","Data not available"
"HIV diagnoses","2022","Arizona","04","Other","7","Data not available"
"HIV diagnoses","2022","Arkansas","05","Heterosexual contact","79","Data not available"
"HIV diagnoses","2022","Arkansas","05","Injection drug use","15","Data not available"
"HIV diagnoses","2022","Arkansas","05","Male-to-male sexual contact","201","Data not available"
"HIV diagnoses","2022","Arkansas","05","Male-to-male sexual contact and injection drug use","10","Data not available"
"HIV diagnoses","2022","Arkansas","05","Other","0","Data not available"
"HIV diagnoses","2022","California","06","Heterosexual contact","600","Data not available"
"HIV diagnoses","2022","California","06","Injection drug use","338","Data not available"
"HIV diagnoses","2022","California","06","Male-to-male sexual contact","3,686","Data not available"
"HIV diagnoses","2022","California","06","Male-to-male sexual contact and injection drug use","226","Data not available"
"HIV diagnoses","2022","California","06","Other","7","Data not available"
"HIV diagnoses","2022","Colorado","08","Heterosexual contact","56","Data not available"
"HIV diagnoses","2022","Colorado","08","Injection drug use","21","Data not available"
"HIV diagnoses","2022","Colorado","08","Male-to-male sexual contact","335","Data not available"
"HIV diagnoses","2022","Colorado","08","Male-to-male sexual contact and injection drug use","20","Data not available"
"HIV diagnoses","2022","Colorado","08","Other","1","Data not available"
"HIV diagnoses","2022","Connecticut","09","Heterosexual contact","70","Data not available"
"HIV diagnoses","2022","Connecticut","09","Injection drug use","15","Data not available"
"HIV diagnoses","2022","Connecticut","09","Male-to-male sexual contact","135","Data not available"
"HIV diagnoses","2022","Connecticut","09","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2022","Connecticut","09","Other","0","Data not available"
"HIV diagnoses","2022","Delaware","10","Heterosexual contact","45","Data not available"
"HIV diagnoses","2022","Delaware","10","Injection drug use","13","Data not available"
"HIV diagnoses","2022","Delaware","10","Male-to-male sexual contact","66","Data not available"
"HIV diagnoses","2022","Delaware","10","Male-to-male sexual contact and injection drug use","4","Data not available"
"HIV diagnoses","2022","Delaware","10","Other","0","Data not available"
"HIV diagnoses","2022","District of Columbia","11","Heterosexual contact","55","Data not available"
"HIV diagnoses","2022","District of Columbia","11","Injection drug use","11","Data not available"
"HIV diagnoses","2022","District of Columbia","11","Male-to-male sexual contact","140","Data not available"
"HIV diagnoses","2022","District of Columbia","11","Male-to-male sexual contact and injection drug use","5","Data not available"
"HIV diagnoses","2022","District of Columbia","11","Other","0","Data not available"
"HIV diagnoses","2022","Florida","12","Heterosexual contact","1,444","Data not available"
"HIV diagnoses","2022","Florida","12","Injection drug use","178","Data not available"
"HIV diagnoses","2022","Florida","12","Male-to-male sexual contact","2,582","Data not available"
"HIV diagnoses","2022","Florida","12","Male-to-male sexual contact and injection drug use","84","Data not available"
"HIV diagnoses","2022","Florida","12","Other","3","Data not available"
"HIV diagnoses","2022","Georgia","13","Heterosexual contact","715","Data not available"
"HIV diagnoses","2022","Georgia","13","Injection drug use","71","Data not available"
"HIV diagnoses","2022","Georgia","13","Male-to-male sexual contact","1,673","Data not available"
"HIV diagnoses","2022","Georgia","13","Male-to-male sexual contact and injection drug use","49","Data not available"
"HIV diagnoses","2022","Georgia","13","Other","4","Data not available"
"HIV diagnoses","2022","Hawaii","15","Heterosexual contact","10","Data not available"
"HIV diagnoses","2022","Hawaii","15","Injection drug use","11","Data not available"
"HIV diagnoses","2022","Hawaii","15","Male-to-male sexual contact","52","Data not available"
"HIV diagnoses","2022","Hawaii","15","Male-to-male sexual contact and injection drug use","6","Data not available"
"HIV diagnoses","2022","Hawaii","15","Other","0","Data not available"
"HIV diagnoses","2022","Idaho","16","Heterosexual contact","5","Data not available"
"HIV diagnoses","2022","Idaho","16","Injection drug use","6","Data not available"
"HIV diagnoses","2022","Idaho","16","Male-to-male sexual contact","26","Data not available"
"HIV diagnoses","2022","Idaho","16","Male-to-male sexual contact and injection drug use","4","Data not available"
"HIV diagnoses","2022","Idaho","16","Other","0","Data not available"
"HIV diagnoses","2022","Illinois","17","Heterosexual contact","325","Data not available"
"HIV diagnoses","2022","Illinois","17","Injection drug use","59","Data not available"
"HIV diagnoses","2022","Illinois","17","Male-to-male sexual contact","887","Data not available"
"HIV diagnoses","2022","Illinois","17","Male-to-male sexual contact and injection drug use","31","Data not available"
