"Date Printed: Monday, January 20, 2025 7:14:36 PM"
Title: "HIV prevalence | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV prevalence","2018","Alabama","01","13,375","325.4"
"HIV prevalence","2019","Alabama","01","13,765","333.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama","01","14,030","330.6"
"HIV prevalence","2021","Alabama","01","14,336","335.9"
"HIV prevalence","2022","Alabama","01","14,761","343.8"
"HIV prevalence","2022","Alaska","02","768","126.7"
"HIV prevalence","2021","Arizona","04","18,137","294.6"
"HIV prevalence","2022","Arizona","04","18,693","298.8"
"HIV prevalence","2021","Arkansas","05","6,184","243.6"
"HIV prevalence","2022","Arkansas","05","6,362","248.9"
"HIV prevalence","2021","California","06","136,160","411.7"
"HIV prevalence","2022","California","06","138,531","418.7"
"HIV prevalence","2021","Colorado","08","13,378","270.2"
"HIV prevalence","2022","Colorado","08","13,713","274.7"
"HIV prevalence","2021","Connecticut","09","10,571","338.8"
"HIV prevalence","2022","Connecticut","09","10,638","340.5"
"HIV prevalence","2021","Delaware","10","3,473","404.1"
"HIV prevalence","2022","Delaware","10","3,641","417.5"
"HIV prevalence","2021","District of Columbia","11","13,558","2369.2"
"HIV prevalence","2022","District of Columbia","11","13,560","2355.3"
"HIV prevalence","2021","Florida","12","117,239","621.8"
"HIV prevalence","2022","Florida","12","120,385","626.0"
"HIV prevalence","2021","Georgia","13","59,268","655.2"
"HIV prevalence","2022","Georgia","13","60,902","664.1"
"HIV prevalence","2021","Hawaii","15","2,387","194.6"
"HIV prevalence","2022","Hawaii","15","2,435","199.1"
"HIV prevalence","2021","Idaho","16","1,311","82.8"
"HIV prevalence","2022","Idaho","16","1,365","84.4"
"HIV prevalence","2022","Illinois","17","36,225","338.8"
